date,x_j,y_j,p_j,n_j
2020-11-17T00:00:00,1605571200000,0.025,,
2020-11-18T00:00:00,1605657600000,0.016,-36.0,-0.009
2020-11-19T00:00:00,1605744000000,0.016,0.0,0.0
2020-11-20T00:00:00,1605830400000,0.01,-37.5,-0.006
2020-11-24T00:00:00,1606176000000,0.021,110.0,0.011
2020-11-25T00:00:00,1606262400000,0.021,0.0,0.0
2020-11-26T00:00:00,1606348800000,0.026,23.81,0.005
2020-11-27T00:00:00,1606435200000,0.03,15.385,0.004
2020-11-30T00:00:00,1606694400000,0.031,3.333,0.001
2020-12-01T00:00:00,1606780800000,0.02,-35.484,-0.011
2020-12-02T00:00:00,1606867200000,0.025,25.0,0.005
2020-12-03T00:00:00,1606953600000,0.025,0.0,0.0
2020-12-04T00:00:00,1607040000000,0.021,-16.0,-0.004
2020-12-07T00:00:00,1607299200000,0.021,0.0,0.0
2020-12-08T00:00:00,1607385600000,0.016,-23.81,-0.005
2020-12-09T00:00:00,1607472000000,0.017,6.25,0.001
2020-12-10T00:00:00,1607558400000,0.015,-11.765,-0.002
2020-12-11T00:00:00,1607644800000,0.014,-6.667,-0.001
2020-12-14T00:00:00,1607904000000,0.01,-28.571,-0.004
2020-12-15T00:00:00,1607990400000,0.006,-40.0,-0.004
2020-12-16T00:00:00,1608076800000,0.01,66.667,0.004
2020-12-17T00:00:00,1608163200000,0.01,0.0,0.0
2020-12-18T00:00:00,1608249600000,0.01,0.0,0.0
2020-12-21T00:00:00,1608508800000,0.011,10.0,0.001
2020-12-22T00:00:00,1608595200000,0.01,-9.091,-0.001
2020-12-23T00:00:00,1608681600000,0.006,-40.0,-0.004
2020-12-24T00:00:00,1608768000000,0.016,166.667,0.01
2020-12-25T00:00:00,1608854400000,0.02,25.0,0.004
2020-12-28T00:00:00,1609113600000,0.02,0.0,0.0
2020-12-29T00:00:00,1609200000000,0.02,0.0,0.0
2020-12-30T00:00:00,1609286400000,0.021,5.0,0.001
2021-01-04T00:00:00,1609718400000,0.021,0.0,0.0
2021-01-05T00:00:00,1609804800000,0.011,-47.619,-0.01
2021-01-06T00:00:00,1609891200000,0.019,72.727,0.008
2021-01-07T00:00:00,1609977600000,0.035,84.211,0.016
2021-01-08T00:00:00,1610064000000,0.036,2.857,0.001
2021-01-12T00:00:00,1610409600000,0.031,-13.889,-0.005
2021-01-13T00:00:00,1610496000000,0.03,-3.226,-0.001
2021-01-14T00:00:00,1610582400000,0.031,3.333,0.001
2021-01-15T00:00:00,1610668800000,0.031,0.0,0.0
2021-01-18T00:00:00,1610928000000,0.049,58.065,0.018
2021-01-19T00:00:00,1611014400000,0.044,-10.204,-0.005
2021-01-20T00:00:00,1611100800000,0.037,-15.909,-0.007
2021-01-21T00:00:00,1611187200000,0.032,-13.514,-0.005
2021-01-22T00:00:00,1611273600000,0.041,28.125,0.009
2021-01-25T00:00:00,1611532800000,0.036,-12.195,-0.005
2021-01-26T00:00:00,1611619200000,0.03,-16.667,-0.006
