date,x_u,y_u,p_u,n_u
2020-11-17T00:00:00,1605571200000,0.872,,
2020-11-18T00:00:00,1605657600000,0.882,1.147,0.01
2020-11-19T00:00:00,1605744000000,0.855,-3.061,-0.027
2020-11-20T00:00:00,1605830400000,0.829,-3.041,-0.026
2020-11-23T00:00:00,1606089600000,0.859,3.619,0.03
2020-11-24T00:00:00,1606176000000,0.882,2.678,0.023
2020-11-25T00:00:00,1606262400000,0.878,-0.454,-0.004
2020-11-27T00:00:00,1606435200000,0.842,-4.1,-0.036
2020-11-30T00:00:00,1606694400000,0.842,0.0,0.0
2020-12-01T00:00:00,1606780800000,0.934,10.926,0.092
2020-12-02T00:00:00,1606867200000,0.946,1.285,0.012
2020-12-03T00:00:00,1606953600000,0.921,-2.643,-0.025
2020-12-04T00:00:00,1607040000000,0.969,5.212,0.048
2020-12-07T00:00:00,1607299200000,0.928,-4.231,-0.041
2020-12-08T00:00:00,1607385600000,0.913,-1.616,-0.015
2020-12-09T00:00:00,1607472000000,0.941,3.067,0.028
2020-12-10T00:00:00,1607558400000,0.908,-3.507,-0.033
2020-12-11T00:00:00,1607644800000,0.891,-1.872,-0.017
2020-12-14T00:00:00,1607904000000,0.891,0.0,0.0
2020-12-15T00:00:00,1607990400000,0.921,3.367,0.03
2020-12-16T00:00:00,1608076800000,0.92,-0.109,-0.001
2020-12-17T00:00:00,1608163200000,0.93,1.087,0.01
2020-12-18T00:00:00,1608249600000,0.948,1.935,0.018
2020-12-21T00:00:00,1608508800000,0.941,-0.738,-0.007
2020-12-22T00:00:00,1608595200000,0.918,-2.444,-0.023
2020-12-23T00:00:00,1608681600000,0.955,4.031,0.037
2020-12-24T00:00:00,1608768000000,0.93,-2.618,-0.025
2020-12-28T00:00:00,1609113600000,0.933,0.323,0.003
2020-12-29T00:00:00,1609200000000,0.935,0.214,0.002
2020-12-30T00:00:00,1609286400000,0.926,-0.963,-0.009
2020-12-31T00:00:00,1609372800000,0.912,-1.512,-0.014
2021-01-04T00:00:00,1609718400000,0.917,0.548,0.005
2021-01-05T00:00:00,1609804800000,0.955,4.144,0.038
2021-01-06T00:00:00,1609891200000,1.042,9.11,0.087
2021-01-07T00:00:00,1609977600000,1.071,2.783,0.029
2021-01-08T00:00:00,1610064000000,1.107,3.361,0.036
2021-01-11T00:00:00,1610323200000,1.134,2.439,0.027
2021-01-12T00:00:00,1610409600000,1.138,0.353,0.004
2021-01-13T00:00:00,1610496000000,1.088,-4.394,-0.05
2021-01-14T00:00:00,1610582400000,1.129,3.768,0.041
2021-01-15T00:00:00,1610668800000,1.097,-2.834,-0.032
2021-01-19T00:00:00,1611014400000,1.092,-0.456,-0.005
2021-01-20T00:00:00,1611100800000,1.09,-0.183,-0.002
2021-01-21T00:00:00,1611187200000,1.107,1.56,0.017
2021-01-22T00:00:00,1611273600000,1.091,-1.445,-0.016
2021-01-25T00:00:00,1611532800000,1.04,-4.675,-0.051
2021-01-26T00:00:00,1611619200000,1.04,0.0,0.0
2021-01-27T00:00:00,1611705600000,1.014,-2.5,-0.026
2021-01-28T00:00:00,1611792000000,1.055,4.043,0.041
2021-01-29T00:00:00,1611878400000,1.094,3.697,0.039
2021-02-01T00:00:00,1612137600000,1.077,-1.554,-0.017
2021-02-02T00:00:00,1612224000000,1.107,2.786,0.03
2021-02-03T00:00:00,1612310400000,1.131,2.168,0.024
2021-02-04T00:00:00,1612396800000,1.139,0.707,0.008
2021-02-05T00:00:00,1612483200000,1.17,2.722,0.031
2021-02-08T00:00:00,1612742400000,1.16,-0.855,-0.01
2021-02-09T00:00:00,1612828800000,1.157,-0.259,-0.003
2021-02-10T00:00:00,1612915200000,1.133,-2.074,-0.024
2021-02-11T00:00:00,1613001600000,1.158,2.207,0.025
2021-02-12T00:00:00,1613088000000,1.2,3.627,0.042
2021-02-16T00:00:00,1613433600000,1.299,8.25,0.099
2021-02-17T00:00:00,1613520000000,1.299,0.0,0.0
2021-02-18T00:00:00,1613606400000,1.287,-0.924,-0.012
2021-02-19T00:00:00,1613692800000,1.345,4.507,0.058
2021-02-22T00:00:00,1613952000000,1.369,1.784,0.024
2021-02-23T00:00:00,1614038400000,1.364,-0.365,-0.005
2021-02-24T00:00:00,1614124800000,1.389,1.833,0.025
2021-02-25T00:00:00,1614211200000,1.515,9.071,0.126
2021-02-26T00:00:00,1614297600000,1.456,-3.894,-0.059
2021-03-01T00:00:00,1614556800000,1.446,-0.687,-0.01
2021-03-02T00:00:00,1614643200000,1.415,-2.144,-0.031
2021-03-03T00:00:00,1614729600000,1.47,3.887,0.055
2021-03-04T00:00:00,1614816000000,1.55,5.442,0.08
2021-03-05T00:00:00,1614902400000,1.554,0.258,0.004
2021-03-08T00:00:00,1615161600000,1.594,2.574,0.04
2021-03-09T00:00:00,1615248000000,1.544,-3.137,-0.05
2021-03-10T00:00:00,1615334400000,1.52,-1.554,-0.024
2021-03-11T00:00:00,1615420800000,1.527,0.461,0.007
2021-03-12T00:00:00,1615507200000,1.635,7.073,0.108
2021-03-15T00:00:00,1615766400000,1.607,-1.713,-0.028
2021-03-16T00:00:00,1615852800000,1.623,0.996,0.016
2021-03-17T00:00:00,1615939200000,1.641,1.109,0.018
2021-03-18T00:00:00,1616025600000,1.729,5.363,0.088
2021-03-19T00:00:00,1616112000000,1.732,0.174,0.003
2021-03-22T00:00:00,1616371200000,1.682,-2.887,-0.05
2021-03-23T00:00:00,1616457600000,1.638,-2.616,-0.044
2021-03-24T00:00:00,1616544000000,1.614,-1.465,-0.024
2021-03-25T00:00:00,1616630400000,1.614,0.0,0.0
2021-03-26T00:00:00,1616716800000,1.66,2.85,0.046
2021-03-29T00:00:00,1616976000000,1.721,3.675,0.061
2021-03-30T00:00:00,1617062400000,1.726,0.291,0.005
2021-03-31T00:00:00,1617148800000,1.746,1.159,0.02
2021-04-01T00:00:00,1617235200000,1.679,-3.837,-0.067
2021-04-02T00:00:00,1617321600000,1.673,-0.357,-0.006
2021-04-05T00:00:00,1617580800000,1.72,2.809,0.047
2021-04-06T00:00:00,1617667200000,1.656,-3.721,-0.064
2021-04-07T00:00:00,1617753600000,1.654,-0.121,-0.002
2021-04-08T00:00:00,1617840000000,1.632,-1.33,-0.022
2021-04-09T00:00:00,1617926400000,1.666,2.083,0.034
2021-04-12T00:00:00,1618185600000,1.676,0.6,0.01
2021-04-13T00:00:00,1618272000000,1.623,-3.162,-0.053
2021-04-14T00:00:00,1618358400000,1.636,0.801,0.013
