date,x_ju,y_ju,p_ju,n_ju
2022-11-17T00:00:00,166864320,140.18,,
2022-11-18T00:00:00,166872960,140.35,0.121,0.17
2022-11-21T00:00:00,166898880,142.12,1.261,1.77
2022-11-22T00:00:00,166907520,141.24,-0.619,-0.88
2022-11-23T00:00:00,166916160,139.59,-1.168,-1.65
2022-11-24T00:00:00,166924800,138.61,-0.702,-0.98
2022-11-25T00:00:00,166933440,139.1,0.354,0.49
2022-11-28T00:00:00,166959360,138.94,-0.115,-0.16
2022-11-29T00:00:00,166968000,138.68,-0.187,-0.26
2022-11-30T00:00:00,166976640,138.03,-0.469,-0.65
2022-12-01T00:00:00,166985280,135.27,-2.0,-2.76
2022-12-02T00:00:00,166993920,134.3,-0.717,-0.97
2022-12-05T00:00:00,167019840,136.74,1.817,2.44
2022-12-06T00:00:00,167028480,137.05,0.227,0.31
2022-12-07T00:00:00,167037120,136.6,-0.328,-0.45
2022-12-08T00:00:00,167045760,136.65,0.037,0.05
2022-12-09T00:00:00,167054400,136.56,-0.066,-0.09
2022-12-12T00:00:00,167080320,137.66,0.806,1.1
2022-12-13T00:00:00,167088960,135.57,-1.518,-2.09
2022-12-14T00:00:00,167097600,135.47,-0.074,-0.1
2022-12-15T00:00:00,167106240,137.76,1.69,2.29
2022-12-16T00:00:00,167114880,136.69,-0.777,-1.07
2022-12-19T00:00:00,167140800,136.88,0.139,0.19
2022-12-20T00:00:00,167149440,131.7,-3.784,-5.18
2022-12-21T00:00:00,167158080,132.47,0.585,0.77
2022-12-22T00:00:00,167166720,132.33,-0.106,-0.14
2022-12-23T00:00:00,167175360,132.79,0.348,0.46
2022-12-26T00:00:00,167201280,132.86,0.053,0.07
2022-12-27T00:00:00,167209920,133.48,0.467,0.62
2022-12-28T00:00:00,167218560,134.47,0.742,0.99
2022-12-29T00:00:00,167227200,133.01,-1.086,-1.46
2022-12-30T00:00:00,167235840,131.11,-1.428,-1.9
2023-01-02T00:00:00,167261760,130.73,-0.29,-0.38
2023-01-03T00:00:00,167270400,131.0,0.207,0.27
2023-01-04T00:00:00,167279040,132.62,1.237,1.62
2023-01-05T00:00:00,167287680,133.4,0.588,0.78
2023-01-06T00:00:00,167296320,132.07,-0.997,-1.33
2023-01-09T00:00:00,167322240,131.88,-0.144,-0.19
2023-01-10T00:00:00,167330880,132.25,0.281,0.37
2023-01-11T00:00:00,167339520,132.47,0.166,0.22
2023-01-12T00:00:00,167348160,129.22,-2.453,-3.25
2023-01-13T00:00:00,167356800,127.88,-1.037,-1.34
2023-01-16T00:00:00,167382720,128.54,0.516,0.66
2023-01-17T00:00:00,167391360,128.13,-0.319,-0.41
2023-01-18T00:00:00,167400000,128.88,0.585,0.75
2023-01-19T00:00:00,167408640,128.42,-0.357,-0.46
2023-01-20T00:00:00,167417280,129.57,0.895,1.15
2023-01-23T00:00:00,167443200,130.66,0.841,1.09
2023-01-24T00:00:00,167451840,130.15,-0.39,-0.51
2023-01-25T00:00:00,167460480,129.59,-0.43,-0.56
2023-01-26T00:00:00,167469120,130.21,0.478,0.62
2023-01-27T00:00:00,167477760,129.85,-0.276,-0.36
2023-01-30T00:00:00,167503680,130.44,0.454,0.59
2023-01-31T00:00:00,167512320,130.09,-0.268,-0.35
2023-02-01T00:00:00,167520960,128.93,-0.892,-1.16
2023-02-02T00:00:00,167529600,128.65,-0.217,-0.28
2023-02-03T00:00:00,167538240,131.17,1.959,2.52
2023-02-06T00:00:00,167564160,132.65,1.128,1.48
2023-02-07T00:00:00,167572800,131.05,-1.206,-1.6
2023-02-08T00:00:00,167581440,131.37,0.244,0.32
2023-02-09T00:00:00,167590080,131.56,0.145,0.19
2023-02-10T00:00:00,167598720,131.41,-0.114,-0.15
2023-02-13T00:00:00,167624640,132.4,0.753,0.99
2023-02-14T00:00:00,167633280,133.11,0.536,0.71
2023-02-15T00:00:00,167641920,134.11,0.751,1.0
2023-02-16T00:00:00,167650560,133.94,-0.127,-0.17
2023-02-17T00:00:00,167659200,134.15,0.157,0.21
2023-02-20T00:00:00,167685120,134.23,0.06,0.08
2023-02-21T00:00:00,167693760,134.99,0.566,0.76
2023-02-22T00:00:00,167702400,134.9,-0.067,-0.09
2023-02-23T00:00:00,167711040,134.7,-0.148,-0.2
2023-02-24T00:00:00,167719680,136.46,1.307,1.76
2023-02-27T00:00:00,167745600,136.2,-0.191,-0.26
2023-02-28T00:00:00,167754240,136.2,0.0,0.0
2023-03-01T00:00:00,167762880,136.16,-0.029,-0.04
2023-03-02T00:00:00,167771520,136.76,0.441,0.6
2023-03-03T00:00:00,167780160,135.86,-0.658,-0.9
2023-03-06T00:00:00,167806080,135.91,0.037,0.05
2023-03-07T00:00:00,167814720,137.14,0.905,1.23
2023-03-08T00:00:00,167823360,137.34,0.146,0.2
2023-03-09T00:00:00,167832000,136.14,-0.874,-1.2
2023-03-10T00:00:00,167840640,134.98,-0.852,-1.16
2023-03-13T00:00:00,167866560,133.18,-1.334,-1.8
2023-03-14T00:00:00,167875200,134.22,0.781,1.04
2023-03-15T00:00:00,167883840,133.4,-0.611,-0.82
2023-03-16T00:00:00,167892480,133.72,0.24,0.32
2023-03-17T00:00:00,167901120,131.79,-1.443,-1.93
2023-03-20T00:00:00,167927040,131.31,-0.364,-0.48
2023-03-21T00:00:00,167935680,132.49,0.899,1.18
2023-03-22T00:00:00,167944320,131.44,-0.793,-1.05
2023-03-23T00:00:00,167952960,130.81,-0.479,-0.63
2023-03-24T00:00:00,167961600,130.69,-0.092,-0.12
2023-03-27T00:00:00,167987520,131.56,0.666,0.87
2023-03-28T00:00:00,167996160,130.86,-0.532,-0.7
2023-03-29T00:00:00,168004800,132.84,1.513,1.98
2023-03-30T00:00:00,168013440,132.65,-0.143,-0.19
2023-03-31T00:00:00,168022080,132.79,0.106,0.14
2023-04-03T00:00:00,168048000,132.41,-0.286,-0.38
2023-04-04T00:00:00,168056640,131.69,-0.544,-0.72
2023-04-05T00:00:00,168065280,131.31,-0.289,-0.38
2023-04-06T00:00:00,168073920,131.76,0.343,0.45
2023-04-07T00:00:00,168082560,132.13,0.281,0.37
2023-04-10T00:00:00,168108480,133.6,1.113,1.47
2023-04-11T00:00:00,168117120,133.65,0.037,0.05
2023-04-12T00:00:00,168125760,133.12,-0.397,-0.53
2023-04-13T00:00:00,168134400,132.56,-0.421,-0.56
2023-04-14T00:00:00,168143040,133.77,0.913,1.21
2023-04-17T00:00:00,168168960,134.46,0.516,0.69
2023-04-18T00:00:00,168177600,134.09,-0.275,-0.37
2023-04-19T00:00:00,168186240,134.69,0.447,0.6
2023-04-20T00:00:00,168194880,134.23,-0.342,-0.46
2023-04-21T00:00:00,168203520,134.15,-0.06,-0.08
2023-04-24T00:00:00,168229440,134.22,0.052,0.07
2023-04-25T00:00:00,168238080,133.71,-0.38,-0.51
2023-04-26T00:00:00,168246720,133.66,-0.037,-0.05
2023-04-27T00:00:00,168255360,133.94,0.209,0.28
2023-04-28T00:00:00,168264000,136.28,1.747,2.34
2023-05-01T00:00:00,168289920,137.48,0.881,1.2
2023-05-02T00:00:00,168298560,136.53,-0.691,-0.95
2023-05-03T00:00:00,168307200,134.68,-1.355,-1.85
2023-05-04T00:00:00,168315840,134.27,-0.304,-0.41
2023-05-05T00:00:00,168324480,134.83,0.417,0.56
2023-05-08T00:00:00,168350400,135.08,0.185,0.25
2023-05-09T00:00:00,168359040,135.21,0.096,0.13
2023-05-10T00:00:00,168367680,134.34,-0.643,-0.87
2023-05-11T00:00:00,168376320,134.54,0.149,0.2
2023-05-12T00:00:00,168384960,135.71,0.87,1.17
2023-05-15T00:00:00,168410880,136.11,0.295,0.4
2023-05-16T00:00:00,168419520,136.37,0.191,0.26
2023-05-17T00:00:00,168428160,137.67,0.953,1.3
2023-05-18T00:00:00,168436800,138.71,0.755,1.04
2023-05-19T00:00:00,168445440,137.95,-0.548,-0.76
2023-05-22T00:00:00,168471360,138.6,0.471,0.65
2023-05-23T00:00:00,168480000,138.58,-0.014,-0.02
2023-05-24T00:00:00,168488640,139.46,0.635,0.88
2023-05-25T00:00:00,168497280,140.05,0.423,0.59
2023-05-26T00:00:00,168505920,140.62,0.407,0.57
2023-05-29T00:00:00,168531840,140.44,-0.128,-0.18
2023-05-30T00:00:00,168540480,139.79,-0.463,-0.65
2023-05-31T00:00:00,168549120,139.34,-0.322,-0.45
2023-06-01T00:00:00,168557760,138.79,-0.395,-0.55
2023-06-02T00:00:00,168566400,139.94,0.829,1.15
2023-06-05T00:00:00,168592320,139.54,-0.286,-0.4
2023-06-06T00:00:00,168600960,139.63,0.064,0.09
2023-06-07T00:00:00,168609600,140.11,0.344,0.48
2023-06-08T00:00:00,168618240,138.91,-0.856,-1.2
2023-06-09T00:00:00,168626880,139.34,0.31,0.43
2023-06-12T00:00:00,168652800,139.6,0.187,0.26
2023-06-13T00:00:00,168661440,140.21,0.437,0.61
2023-06-14T00:00:00,168670080,140.09,-0.086,-0.12
2023-06-15T00:00:00,168678720,140.27,0.128,0.18
2023-06-16T00:00:00,168687360,141.82,1.105,1.55
2023-06-19T00:00:00,168713280,141.98,0.113,0.16
2023-06-20T00:00:00,168721920,141.44,-0.38,-0.54
2023-06-21T00:00:00,168730560,141.88,0.311,0.44
2023-06-22T00:00:00,168739200,143.11,0.867,1.23
2023-06-23T00:00:00,168747840,143.68,0.398,0.57
2023-06-26T00:00:00,168773760,143.5,-0.125,-0.18
2023-06-27T00:00:00,168782400,144.07,0.397,0.57
2023-06-28T00:00:00,168791040,144.46,0.271,0.39
2023-06-29T00:00:00,168799680,144.77,0.215,0.31
2023-06-30T00:00:00,168808320,144.32,-0.311,-0.45
2023-07-03T00:00:00,168834240,144.66,0.236,0.34
2023-07-04T00:00:00,168842880,144.45,-0.145,-0.21
2023-07-05T00:00:00,168851520,144.64,0.132,0.19
2023-07-06T00:00:00,168860160,144.06,-0.401,-0.58
2023-07-07T00:00:00,168868800,142.07,-1.381,-1.99
2023-07-10T00:00:00,168894720,141.31,-0.535,-0.76
2023-07-11T00:00:00,168903360,140.37,-0.665,-0.94
2023-07-12T00:00:00,168912000,138.5,-1.332,-1.87
2023-07-13T00:00:00,168920640,138.03,-0.339,-0.47
2023-07-14T00:00:00,168929280,138.73,0.507,0.7
2023-07-17T00:00:00,168955200,138.71,-0.014,-0.02
2023-07-18T00:00:00,168963840,138.81,0.072,0.1
2023-07-19T00:00:00,168972480,139.67,0.62,0.86
2023-07-20T00:00:00,168981120,140.07,0.286,0.4
2023-07-21T00:00:00,168989760,141.79,1.228,1.72
2023-07-24T00:00:00,169015680,141.44,-0.247,-0.35
2023-07-25T00:00:00,169024320,140.9,-0.382,-0.54
2023-07-26T00:00:00,169032960,140.21,-0.49,-0.69
2023-07-27T00:00:00,169041600,139.44,-0.549,-0.77
2023-07-28T00:00:00,169050240,141.15,1.226,1.71
2023-07-31T00:00:00,169076160,142.28,0.801,1.13
2023-08-01T00:00:00,169084800,143.32,0.731,1.04
2023-08-02T00:00:00,169093440,143.32,0.0,0.0
2023-08-03T00:00:00,169102080,142.54,-0.544,-0.78
2023-08-04T00:00:00,169110720,141.75,-0.554,-0.79
2023-08-07T00:00:00,169136640,142.49,0.522,0.74
2023-08-08T00:00:00,169145280,143.37,0.618,0.88
2023-08-09T00:00:00,169153920,143.72,0.244,0.35
2023-08-10T00:00:00,169162560,144.73,0.703,1.01
2023-08-11T00:00:00,169171200,144.96,0.159,0.23
2023-08-14T00:00:00,169197120,145.54,0.4,0.58
2023-08-15T00:00:00,169205760,145.57,0.021,0.03
2023-08-16T00:00:00,169214400,146.35,0.536,0.78
2023-08-17T00:00:00,169223040,145.83,-0.355,-0.52
2023-08-18T00:00:00,169231680,145.37,-0.315,-0.46
2023-08-21T00:00:00,169257600,146.17,0.55,0.8
2023-08-22T00:00:00,169266240,145.88,-0.198,-0.29
2023-08-23T00:00:00,169274880,144.83,-0.72,-1.05
2023-08-24T00:00:00,169283520,145.87,0.718,1.04
2023-08-25T00:00:00,169292160,146.41,0.37,0.54
2023-08-28T00:00:00,169318080,146.54,0.089,0.13
2023-08-29T00:00:00,169326720,145.87,-0.457,-0.67
2023-08-30T00:00:00,169335360,146.24,0.254,0.37
2023-08-31T00:00:00,169344000,145.53,-0.486,-0.71
2023-09-01T00:00:00,169352640,146.23,0.481,0.7
2023-09-04T00:00:00,169378560,146.46,0.157,0.23
2023-09-05T00:00:00,169387200,147.71,0.853,1.25
2023-09-06T00:00:00,169395840,147.65,-0.041,-0.06
2023-09-07T00:00:00,169404480,147.29,-0.244,-0.36
2023-09-08T00:00:00,169413120,147.81,0.353,0.52
2023-09-11T00:00:00,169439040,146.58,-0.832,-1.23
2023-09-12T00:00:00,169447680,147.08,0.341,0.5
2023-09-13T00:00:00,169456320,147.45,0.252,0.37
2023-09-14T00:00:00,169464960,147.47,0.014,0.02
2023-09-15T00:00:00,169473600,147.82,0.237,0.35
2023-09-18T00:00:00,169499520,147.6,-0.149,-0.22
2023-09-19T00:00:00,169508160,147.86,0.176,0.26
2023-09-20T00:00:00,169516800,148.33,0.318,0.47
2023-09-21T00:00:00,169525440,147.58,-0.506,-0.75
2023-09-22T00:00:00,169534080,148.37,0.535,0.79
2023-09-25T00:00:00,169560000,148.88,0.344,0.51
2023-09-26T00:00:00,169568640,149.05,0.114,0.17
2023-09-27T00:00:00,169577280,149.63,0.389,0.58
2023-09-28T00:00:00,169585920,149.29,-0.227,-0.34
2023-09-29T00:00:00,169594560,149.35,0.04,0.06
2023-10-02T00:00:00,169620480,149.85,0.335,0.5
2023-10-03T00:00:00,169629120,149.02,-0.554,-0.83
2023-10-04T00:00:00,169637760,149.12,0.067,0.1
2023-10-05T00:00:00,169646400,148.5,-0.416,-0.62
2023-10-06T00:00:00,169655040,149.32,0.552,0.82
2023-10-09T00:00:00,169680960,148.5,-0.549,-0.82
2023-10-10T00:00:00,169689600,148.7,0.135,0.2
2023-10-11T00:00:00,169698240,149.15,0.303,0.45
2023-10-12T00:00:00,169706880,149.8,0.436,0.65
2023-10-13T00:00:00,169715520,149.55,-0.167,-0.25
2023-10-16T00:00:00,169741440,149.5,-0.033,-0.05
2023-10-17T00:00:00,169750080,149.8,0.201,0.3
2023-10-18T00:00:00,169758720,149.92,0.08,0.12
2023-10-19T00:00:00,169767360,149.78,-0.093,-0.14
2023-10-20T00:00:00,169776000,149.84,0.04,0.06
2023-10-23T00:00:00,169801920,149.7,-0.093,-0.14
2023-10-24T00:00:00,169810560,149.91,0.14,0.21
2023-10-25T00:00:00,169819200,150.21,0.2,0.3
2023-10-26T00:00:00,169827840,150.38,0.113,0.17
2023-10-27T00:00:00,169836480,149.6,-0.519,-0.78
2023-10-30T00:00:00,169862400,149.1,-0.334,-0.5
2023-10-31T00:00:00,169871040,151.67,1.724,2.57
2023-11-01T00:00:00,169879680,150.95,-0.475,-0.72
2023-11-02T00:00:00,169888320,150.44,-0.338,-0.51
2023-11-03T00:00:00,169896960,149.37,-0.711,-1.07
2023-11-06T00:00:00,169922880,150.07,0.469,0.7
2023-11-07T00:00:00,169931520,150.34,0.18,0.27
2023-11-08T00:00:00,169940160,150.97,0.419,0.63
2023-11-09T00:00:00,169948800,151.34,0.245,0.37
2023-11-10T00:00:00,169957440,151.5,0.106,0.16
